feature,dtype,is_categorical_defined,is_categorical_dtype,null_count,null_pct,unique_values,min,max,mean,std,median,outliers_5std,outliers_5std_pct
company_age,Int16,False,False,0,0.0,165,-1.0,163.0,12.892437893969921,13.74477147376005,9.0,49212,0.3945270949972374
bransch_sni071_konv,float64,True,False,1366828,10.957707067399902,814,0.0,99000.0,57945.479380183744,18949.7060272502,62010.0,0,0.0
ny_kapomsh,float32,False,False,1403147,11.248872424694966,4778837,-0.8823529481887817,31020.0,1.5008615255355835,27.439348220825195,0.6834016442298889,2124,0.017027870230312367
ny_rs,float32,False,False,1952896,15.656148616429425,2770687,-3.200000047683716,1140862.75,1.604278802871704,606.9429931640625,0.0054054055362939835,487,0.0039042244831271763
ny_skuldgrd,float32,False,False,1937208,15.530379676611563,5568185,-15954.2607421875,1226958.5,12.99537467956543,672.6151733398438,0.891566276550293,4058,0.03253253173004123
ny_solid,float32,False,False,1937208,15.530379676611563,5287674,-49.88740921020508,2751.9091796875,0.5332388281822205,1.5678938627243042,0.5285714268684387,796,0.006381442892339287
ny_avkegkap,float32,False,False,1938026,15.536937491041128,4836913,-64690.0,45295.48046875,-0.31166473031044006,51.163700103759766,0.09835009276866913,3379,0.027089064740219156
ny_kasslikv,float32,False,False,2133208,17.101689735529277,3402874,-8943.0,2141347.0,23.72571563720703,1487.9656982421875,1.6837725639343262,2735,0.021926188832346667
ny_nettomarg,float32,False,False,4044399,32.423494035595624,3656505,-3474184.0,3287739.0,1.7266218662261963,1961.53369140625,0.0488356314599514,431,0.0034552787520078293
ny_omspanst,float32,False,False,6061155,48.591601123262215,45150,-54.0,99013568.0,1908.7979736328125,64096.75,939.0,1033,0.008281445361540808
ny_foradlvpanst,float32,False,False,6060929,48.589789306561634,24996,-5486125.0,24772000.0,584.6500854492188,14054.2431640625,423.0,1010,0.008097056936259648
ny_omsf,float32,False,False,4731431,37.93135267028111,3762200,-4.2151899337768555,1337810.0,1.9211961030960083,597.0960693359375,0.020733248442411423,387,0.0031025356775569147
ny_anstf,float32,False,False,6419444,51.46396392785185,30138,-1.0,13188.5,-0.014649666845798492,5.656321048736572,0.0,412,0.0033029578789494796
log_br10_eksu,float32,False,False,1918113,15.377297199187922,204046,-0.0,20.082548141479492,6.244926452636719,1.9232237339019775,5.993961334228516,3821,0.030632529260839713
log_br07b_kabasu,float32,False,False,1375936,11.03072488381124,77956,-0.0,18.033281326293945,4.7325825691223145,2.4488415718078613,5.03043794631958,33,0.0002645573058381865
log_bslov_antanst,float32,False,False,0,0.0,3663,0.0,10.398305892944336,0.7314118146896362,0.9707783460617065,0.6931471824645996,23920,0.1917639622924067
log_rr15_resar,float32,False,False,4640388,37.20147113102578,83169,-0.0,18.733964920043945,4.455623149871826,2.4422686100006104,4.7004804611206055,101,0.0008097056936259647
ratio_depreciation_cost,float32,False,False,4044371,32.42326956273007,2148073,-66864.0,295.0,-0.1927802860736847,26.457618713378906,-0.009541858918964863,962,0.007712246309585921
ratio_cash_interest_cov,float32,False,False,5734849,45.97564244935812,991116,-1770902.0,93259.0,-199.185546875,2372.188720703125,-8.277777671813965,9090,0.07287351242633683
ratio_cash_liquidity,float32,False,False,2090017,16.755432323515425,2673926,-26977.0,371347.0,10.311901092529297,283.01153564453125,0.7221249341964722,7921,0.06350177028922047
ratio_short_term_debt_share,float32,False,False,1954089,15.66571276387988,1166012,-455.20001220703125,787.5384521484375,0.8576306104660034,0.6361993551254272,1.0,1751,0.01403757098553529
ratio_retained_earnings_equity,float32,False,False,1371478,10.99498559685892,2679542,-1825320.75,71914.6015625,0.2381908893585205,552.477294921875,0.39150944352149963,183,0.0014670905141935795
dividend_yield,float32,False,False,1371445,10.994721039553081,846721,-756.0,14634.146484375,0.0861491784453392,5.455711841583252,0.0,144,0.0011544318800211775
dso_days,float32,False,False,4045462,32.43201598759884,3381682,-67996216.0,4244967936.0,5249.40673828125,2522581.25,61.94954299926758,271,0.00217257666309541
dpo_days,float32,False,False,2409038,19.312987967933733,2042844,-351128160.0,1311080.0,-324.395751953125,124672.6875,-12.561312675476074,591,0.004737980840920249
rr01_ntoms_yoy_abs,float32,False,False,2462556,19.742035782898824,152656,-48785892.0,99013568.0,939.1373291015625,110158.84375,0.0,6429,0.05154057331011215
rr07_rorresul_yoy_pct,float32,False,False,3024861,24.249972021060685,1848163,-3911197.0,714887.0,-1.131403923034668,1492.7684326171875,-0.1451367735862732,451,0.003615616513121882
ny_solid_yoy_diff,float32,False,False,3097800,24.83471581895558,6176204,-2750.818115234375,2751.488037109375,0.011633702553808689,1.4920326471328735,0.0013547539710998535,659,0.0052831292287080275
ratio_cash_liquidity_yoy_pct,float32,False,False,3898386,31.252924159918315,6024727,-1761359.0,264824576.0,121.8960952758789,104132.625,0.0,146,0.0011704656561325826
ratio_cash_liquidity_yoy_abs,float32,False,False,3198891,25.64515104939461,6967472,-370961.21875,154306.609375,0.18001633882522583,281.71075439453125,0.0,6654,0.05334437312264524
dso_days_yoy_diff,float32,False,False,5052752,40.50734715722753,6498727,-2060297984.0,595827392.0,-333.8233337402344,1493204.125,0.0,236,0.0018919855811458186
inventory_days_yoy_diff,float32,False,False,3548038,28.444223463379014,2731002,-103192072.0,102938624.0,71.56248474121094,78059.3515625,0.0,1181,0.009467944793784796
dpo_days_yoy_diff,float32,False,False,3547581,28.44055974553756,5105288,-351128160.0,351128160.0,78.86955261230469,184762.296875,0.0,446,0.003575532072843369
current_ratio_yoy_pct,float32,False,False,3296568,26.42821662401148,6295223,-1148457.0,677502400.0,270.43682861328125,253848.515625,0.0,106,0.0008497901339044778
revenue_cagr_3y,float32,False,False,6625231,53.11373527017073,3030406,-0.9905433654785156,88.76590728759766,0.1142507791519165,0.6889209747314453,0.025211095809936523,31066,0.24905264433845764
profit_cagr_3y,float32,False,False,8442783,67.68484618958914,1060901,-0.9964978098869324,147.45947265625,0.31042152643203735,1.1889572143554688,0.07417440414428711,21751,0.1743753320995877
revenue_drawdown_5y,float64,False,False,6343432,50.854584232961784,1804342,-1.462992125984252,0.0,-0.3894838473867258,0.36927334746466484,-0.2610894307085875,0,0.0
dpo_days_trend_3y,float64,False,False,4588090,36.78220391948864,4792104,-175564080.0,11421279.603729248,15.29708754806806,69970.26957432793,0.0,489,0.003920258259238581
event_count_last_5y,Int16,False,False,0,0.0,6,0.0,5.0,0.03357031788885194,0.2270271940578074,0.0,18934,0.15179175844667342
term_spread,float32,False,False,2228590,17.866356552058306,19,-1.33536696434021,1.6168749332427979,0.21062524616718292,0.7146084308624268,0.36344170570373535,0,0.0
