iter	Passed	Remaining
0	40	404381
1	72	364871
2	105	349982
3	134	337168
4	166	332148
5	200	334174
6	231	330562
7	261	326988
8	291	323672
9	321	321002
10	349	317527
11	378	315260
12	407	313077
13	436	311587
14	466	310441
15	496	310067
16	526	309122
17	554	307276
18	580	305136
19	609	303987
20	640	304530
21	667	302755
22	696	301946
23	725	301438
24	752	300270
25	779	299040
26	807	298269
27	836	297897
28	865	297463
29	893	296817
30	922	296749
31	950	296134
32	980	296245
33	1011	296403
34	1031	293672
35	1059	293362
36	1087	292757
37	1119	293371
38	1154	294765
39	1184	294901
40	1215	295235
41	1250	296482
42	1287	298077
43	1318	298383
44	1349	298477
45	1380	298661
46	1411	299002
47	1440	298624
48	1468	298244
49	1495	297601
50	1524	297341
51	1554	297465
52	1583	297283
53	1611	296794
54	1641	296768
55	1667	296179
56	1697	296108
57	1726	295975
58	1757	296071
59	1787	296179
60	1815	295786
61	1846	295991
62	1876	295926
63	1907	296190
64	1935	295857
65	1965	295762
66	1993	295480
67	2021	295271
68	2049	295014
69	2078	294827
70	2106	294624
71	2135	294487
72	2165	294534
73	2195	294508
74	2224	294332
75	2252	294090
76	2282	294092
77	2312	294113
78	2341	294067
79	2371	294079
80	2397	293558
81	2427	293628
82	2458	293760
83	2487	293669
84	2518	293757
85	2549	293861
86	2577	293670
87	2607	293704
88	2635	293434
89	2661	293060
90	2688	292791
91	2715	292406
92	2747	292659
93	2777	292655
94	2802	292237
95	2828	291805
96	2856	291619
97	2883	291319
98	2912	291229
99	2938	290909
100	2967	290838
101	2997	290834
102	3025	290743
103	3055	290709
104	3083	290583
105	3111	290401
106	3137	290085
107	3168	290180
108	3198	290200
109	3228	290283
110	3258	290260
111	3287	290282
112	3316	290151
113	3344	290035
114	3372	289913
115	3398	289585
116	3425	289346
117	3453	289213
118	3482	289142
119	3513	289261
120	3543	289300
121	3571	289144
122	3598	288944
123	3627	288911
124	3657	288947
125	3686	288916
126	3714	288768
127	3740	288509
128	3771	288557
129	3799	288500
130	3830	288552
131	3857	288379
132	3884	288190
133	3910	287944
134	3940	287953
135	3971	288043
136	4001	288063
137	4030	288035
138	4060	288050
139	4088	287947
140	4114	287664
141	4142	287592
142	4171	287560
143	4199	287403
144	4226	287258
145	4256	287307
146	4286	287314
147	4313	287146
148	4341	287045
149	4370	286979
150	4399	286940
151	4427	286835
152	4457	286907
153	4493	287289
154	4524	287395
155	4555	287478
