Feature,VIF_Selected,Stability_Selected,Boruta_Selected,SHAP_Selected,Stability_Score,Boruta_Hits,SHAP_Importance,VIF,Consensus_Score
ratio_cash_liquidity,True,True,True,True,100.0,89,0.21313894472925962,2.1044864997929915,4
ny_avkegkap,True,True,True,True,100.0,96,0.2023094838417546,1.049823469601839,4
company_age,True,True,True,True,100.0,49,0.19443471603320175,2.8477259598817635,4
ny_rs,True,True,True,True,100.0,100,0.13776256922929264,1.1123419639696004,4
revenue_cagr_3y,True,True,True,True,100.0,100,0.11708638102289566,1.17781041076854,4
dpo_days_yoy_diff,True,True,True,True,100.0,100,0.10580750379411899,1.102912488054716,4
rr01_ntoms_yoy_abs,True,True,True,True,97.0,79,0.09704342699098538,1.1008055802017278,4
dso_days_yoy_diff,True,True,True,True,100.0,100,0.0965595459478535,1.0083323104244692,4
bransch_sni071_konv,True,True,True,True,99.0,81,0.09525634588759248,8.620435715625572,4
event_count_last_5y,True,True,True,True,100.0,100,0.08409152945915895,1.0133679711011299,4
ny_solid_yoy_diff,True,True,True,True,100.0,87,0.07219108961455613,1.0876831123937456,4
current_ratio_yoy_pct,True,True,True,True,100.0,99,0.07185456469560435,1.0312867637792502,4
ny_foradlvpanst,True,True,True,True,88.0,59,0.07033197949356908,1.0609323867988156,4
ratio_cash_liquidity_yoy_abs,True,True,True,True,99.0,68,0.06912481305004327,2.208975664343942,4
ny_omsf,True,True,True,True,99.0,100,0.06823725979592765,1.0073709957786823,4
dpo_days,True,True,True,True,100.0,100,0.06578196240629655,1.1055831599095505,4
rr07_rorresul_yoy_pct,True,True,True,True,98.0,100,0.05781938544316111,1.0205989245152085,4
ratio_cash_liquidity_yoy_pct,True,True,True,True,99.0,88,0.05551639183090248,1.0065263249988194,4
dividend_yield,True,True,False,True,100.0,14,0.49809948701228246,1.036637946584731,3
ny_solid,True,True,False,True,100.0,0,0.19024252303937678,14.055372069477617,3
log_br07b_kabasu,True,True,False,True,100.0,34,0.16437695860820103,11.968837094283966,3
ny_skuldgrd,True,True,False,True,99.0,9,0.13536528676191625,1.2321191130344715,3
