cluster,Size,Defaults,Default_Rate,Mean_PD_LightGBM,Median_PD_LightGBM,Std_PD_LightGBM,Mean_PD_Logit,Enrichment
0,8434,152,0.018,0.017,0.0092,0.0226,0.0223,1.0223529411764707
1,13379,7,0.0005,0.0011,0.0008,0.0011,0.0019,0.02839869281045752
2,4534,5,0.0011,0.0017,0.0009,0.0025,0.0046,0.06247712418300654
3,2072,92,0.0444,0.0418,0.0189,0.0648,0.032,2.521803921568628
4,5472,539,0.0985,0.0993,0.0685,0.0937,0.0853,5.594542483660131
5,3285,3,0.0009,0.0008,0.0004,0.0014,0.0009,0.05111764705882353
6,9889,156,0.0158,0.014,0.0059,0.0224,0.0152,0.8973986928104577
7,6632,12,0.0018,0.0018,0.0009,0.0032,0.0027,0.10223529411764706
8,3066,51,0.0166,0.017,0.008,0.0278,0.0277,0.9428366013071896
9,4067,54,0.0133,0.0095,0.0032,0.0193,0.0122,0.75540522875817
